# CRaTER (GCR+SEP) dose rates for individual and combined detectors
#    from 2020-12-31 DOY:366
# through 2021-12-31 DOY:365
#
# Columns are separated by a tab character.
# All dose rate units: cGy / day
# All dose rates have a silicon to water correction applied and are altitude corrected to the lunar surface.
#
# column_titles: Julian Date,Year,DOY,Year Fraction,H2O Factor,Altitude Factor,Good Event Factor,D1&2 dose rate,D3&4 dose rate,D5&6 dose rate,D1 dose rate,D2 dose rate,D3 dose rate,D4 dose rate,D5 dose rate,D6 dose rate
# column_units: ,,,,,,,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day
# start_year: 2020
# start_doy: 366
# end_year: 2021
# end_doy: 365
#
# Julian Date	Year	DOY	Year Fraction	H2O	Alt.	GE	D1&2 dose rate	D3&4 dose rate	D5&6 dose rate	D1 dose rate	D2 dose rate	D3 dose rate	D4 dose rate	D5 dose rate	D6 dose rate
2459217.937500	2021	3	2021.0066781	1.333	0.778	1.000	3.3536e-02	3.2468e-02	3.2326e-02	1.8099e-02	2.9265e-02	1.7152e-02	2.8111e-02	1.6443e-02	2.8927e-02
2459217.979166	2021	3	2021.0067922	1.333	0.743	1.000	3.1269e-02	3.1224e-02	3.0379e-02	1.6465e-02	2.7819e-02	1.6342e-02	2.6846e-02	1.5156e-02	2.7430e-02
2459218.020833	2021	3	2021.0069064	1.333	0.777	1.000	3.1786e-02	3.0710e-02	3.1735e-02	1.6421e-02	2.8308e-02	1.5458e-02	2.7814e-02	1.5860e-02	2.8780e-02
2459218.062500	2021	3	2021.0070205	1.333	0.744	1.000	3.2157e-02	3.2722e-02	3.1018e-02	1.7364e-02	2.8506e-02	1.7796e-02	2.7535e-02	1.5694e-02	2.7544e-02
2459218.104166	2021	3	2021.0071347	1.333	0.776	1.000	3.2119e-02	3.0171e-02	3.1997e-02	1.6848e-02	2.9133e-02	1.4995e-02	2.7366e-02	1.6476e-02	2.8158e-02
2459218.145833	2021	3	2021.0072489	1.333	0.745	1.000	3.2827e-02	3.1547e-02	2.9895e-02	1.8037e-02	2.8242e-02	1.6888e-02	2.7747e-02	1.4513e-02	2.7805e-02
2459218.187500	2021	3	2021.0073630	1.333	0.774	1.000	3.2061e-02	3.1654e-02	3.2540e-02	1.6830e-02	2.8545e-02	1.6369e-02	2.7451e-02	1.6987e-02	2.8197e-02
2459218.229166	2021	3	2021.0074772	1.333	0.746	1.000	3.1279e-02	3.2281e-02	3.0882e-02	1.6067e-02	2.8316e-02	1.7246e-02	2.7604e-02	1.5754e-02	2.7855e-02
2459218.270833	2021	3	2021.0075913	1.333	0.772	1.000	3.1581e-02	3.0134e-02	3.2730e-02	1.6446e-02	2.8470e-02	1.4998e-02	2.7372e-02	1.7178e-02	2.8464e-02
2459218.312500	2021	3	2021.0077055	1.333	0.748	1.000	3.1595e-02	3.0161e-02	3.2475e-02	1.6915e-02	2.8204e-02	1.5250e-02	2.6573e-02	1.7114e-02	2.7454e-02
2459218.354166	2021	3	2021.0078196	1.333	0.770	1.000	3.2158e-02	3.2959e-02	3.0858e-02	1.7198e-02	2.7931e-02	1.7873e-02	2.7561e-02	1.5393e-02	2.7988e-02
2459218.395833	2021	3	2021.0079338	1.333	0.750	1.000	3.1447e-02	3.0620e-02	3.0854e-02	1.6675e-02	2.8529e-02	1.5363e-02	2.7579e-02	1.5528e-02	2.8078e-02
2459218.437500	2021	3	2021.0080479	1.333	0.767	1.000	3.2785e-02	3.1426e-02	3.0419e-02	1.7676e-02	2.8523e-02	1.6444e-02	2.8024e-02	1.4748e-02	2.7862e-02
2459218.479166	2021	3	2021.0081621	1.333	0.752	1.000	3.1134e-02	3.0346e-02	3.0841e-02	1.6029e-02	2.8304e-02	1.5203e-02	2.7335e-02	1.5440e-02	2.7583e-02
2459218.520833	2021	4	2021.0082763	1.333	0.764	1.000	3.2430e-02	3.0372e-02	3.0889e-02	1.7381e-02	2.8631e-02	1.5334e-02	2.7118e-02	1.5643e-02	2.7822e-02
2459218.562500	2021	4	2021.0083904	1.333	0.755	1.000	3.2277e-02	3.0848e-02	3.1318e-02	1.7122e-02	2.8428e-02	1.5883e-02	2.7277e-02	1.5733e-02	2.8229e-02
2459218.604166	2021	4	2021.0085046	1.333	0.761	1.000	3.1057e-02	3.1629e-02	3.0824e-02	1.6072e-02	2.7865e-02	1.6546e-02	2.7440e-02	1.5469e-02	2.7886e-02
2459218.645833	2021	4	2021.0086187	1.333	0.758	1.000	3.1144e-02	3.1534e-02	3.1374e-02	1.6202e-02	2.8281e-02	1.6549e-02	2.7112e-02	1.5796e-02	2.8267e-02
2459218.687500	2021	4	2021.0087329	1.333	0.758	1.000	3.0005e-02	2.9416e-02	3.0676e-02	1.5233e-02	2.7736e-02	1.4155e-02	2.7355e-02	1.5429e-02	2.7360e-02
2459218.729166	2021	4	2021.0088470	1.333	0.761	1.000	3.2560e-02	3.1503e-02	3.1062e-02	1.7525e-02	2.8349e-02	1.6463e-02	2.7380e-02	1.5745e-02	2.8176e-02
2459218.770833	2021	4	2021.0089612	1.333	0.755	1.000	3.2695e-02	3.2326e-02	3.1154e-02	1.7980e-02	2.8094e-02	1.7413e-02	2.7112e-02	1.5937e-02	2.7431e-02
