"A_x","A_y","B_x","B_y","C_x","C_y","AB_x","AB_y","ABCD_x","ABCD_y"
366.7169962,83960,366.7169962,104549,366.7169962,0,366.7169962,3141,366.7169962,0,
371.7336745,84030,371.7336745,105517,371.7336745,0,371.7336745,3108,371.7336745,0,
376.7397733,84469,376.7397733,106060,376.7397733,0,376.7397733,3293,376.7397733,0,
381.7504225,84748,381.7504225,105469,381.7504225,0,381.7504225,3217,381.7504225,0,
386.7740617,85718,386.7740617,107505,386.7740617,0,386.7740617,3258,386.7740617,0,
391.7572091,84517,391.7572091,106960,391.7572091,0,391.7572091,3246,391.7572091,0,
396.7507479,84474,396.7507479,106751,396.7507479,0,396.7507479,3091,396.7507479,0,
401.7572794,84503,401.7572794,105957,401.7572794,0,401.7572794,3301,401.7572794,0,
406.7572105,84374,406.7572105,106938,406.7572105,0,406.7572105,3122,406.7572105,0,
411.7903242,85347,411.7903242,104961,411.7903242,0,411.7903242,3266,411.7903242,0,
416.7509546,84686,416.7509546,106191,416.7509546,0,416.7509546,3218,416.7509546,0,
421.767457,85134,421.767457,106775,421.767457,0,421.767457,3254,421.767457,0,
535.4740684,88225,535.4740684,127039,535.4740684,0,535.4740684,2897,535.4740684,0,
540.4674737,75503,540.4674737,94557,540.4674737,0,540.4674737,2962,540.4674737,0,
545.4840531,75204,545.4840531,94109,545.4840531,0,545.4840531,2905,545.4840531,0,
550.4740946,75710,550.4740946,94108,550.4740946,0,550.4740946,2909,550.4740946,0,
555.4842877,75603,555.4842877,95551,555.4842877,0,555.4842877,2846,555.4842877,0,
560.5166469,75468,560.5166469,94149,560.5166469,0,560.5166469,2921,560.5166469,0,
565.4844191,74762,565.4844191,91817,565.4844191,0,565.4844191,2820,565.4844191,0,
570.5080554,73207,570.5080554,90213,570.5080554,0,570.5080554,2911,570.5080554,0,
575.5010211,72803,575.5010211,90459,575.5010211,0,575.5010211,2880,575.5010211,0,
